City,Cloudiness,Country,Date,Lat,Lng,Humidity,Max Temp,Wind Speed
Denpasar,75,ID,1583617408,-8.65,115.22,94,80.6,5.82
Busselton,43,AU,1583616840,-33.65,115.33,71,62.01,7.96
Mataura,100,NZ,1583616837,-46.19,168.86,98,57.99,8.01
Vardø,32,NO,1583617090,70.37,31.11,82,29.14,7.29
Namatanai,97,PG,1583617070,-3.67,152.43,76,82.99,7.61
Yangmei,56,CN,1583617408,24.1,112.56,96,63.99,2.71
Barrow,90,US,1583616868,71.29,-156.79,84,1.4,4.7
Jamestown,1,US,1583616855,42.1,-79.24,62,33.8,8.05
Upernavik,100,GL,1583616874,72.79,-56.15,92,-16.65,2.77
Rikitea,100,PF,1583616984,-23.12,-134.97,80,79.93,9.71
Ushuaia,75,AR,1583616830,-54.8,-68.3,81,48.2,38.03
East London,0,ZA,1583616857,-33.02,27.91,84,76.71,6.96
Kudahuvadhoo,6,MV,1583617410,2.67,72.89,63,83.01,5.28
Teya,100,RU,1583617410,60.38,92.63,85,-0.06,13.56
São Borja,75,BR,1583617259,-28.66,-56.0,31,87.08,4.81
Limbang,75,MY,1583617411,4.75,115.0,88,78.8,2.24
Priamurskiy,90,RU,1583617411,48.52,134.9,100,28.4,11.18
Dikson,67,RU,1583617036,73.51,80.55,71,-18.4,4.12
Khovd,100,MN,1583617411,48.01,91.64,60,1.78,6.17
Beloha,0,MG,1583617108,-25.17,45.05,75,70.0,17.43
Camaná,100,PE,1583617106,-16.62,-72.71,70,71.33,9.73
Bluff,100,NZ,1583617060,-46.6,168.33,98,57.99,8.01
Hithadhoo,11,MV,1583617072,-0.6,73.08,66,82.47,5.08
Coquimbo,20,CL,1583617055,-29.95,-71.34,72,68.0,12.75
Rocha,67,UY,1583617075,-34.48,-54.33,38,80.74,13.27
Tuktoyaktuk,40,CA,1583617052,69.45,-133.04,76,-11.2,11.41
Pa Sang,0,TH,1583617413,18.53,98.94,64,72.0,2.24
Port Lincoln,67,AU,1583617104,-34.73,135.87,87,61.54,11.81
Jalu,0,LY,1583617413,29.03,21.55,24,70.41,13.22
Portland,90,US,1583617413,45.52,-122.68,70,46.99,6.93
Cape Town,75,ZA,1583616978,-33.93,18.42,93,69.01,11.41
Butaritari,100,KI,1583617052,3.07,172.79,74,84.16,8.75
Torbay,90,CA,1583616913,47.67,-52.73,92,26.01,17.22
Aloleng,57,PH,1583617089,16.13,119.78,89,71.24,2.19
Clyde River,75,CA,1583617089,70.47,-68.59,67,-25.6,10.29
Bambous Virieux,40,MU,1583616843,-20.34,57.76,94,78.8,3.36
Punta Arenas,100,CL,1583617002,-53.15,-70.92,66,53.6,40.26
Port Alfred,0,ZA,1583617041,-33.59,26.89,65,75.0,8.01
Yangi Marg`ilon,75,UZ,1583617043,40.43,71.72,69,35.6,2.24
Cockburn Town,40,TC,1583616854,21.46,-71.14,69,78.8,4.7
Avarua,100,CK,1583617050,-21.21,-159.78,94,77.0,8.05
Khatanga,5,RU,1583617043,71.97,102.5,99,-36.87,3.78
Xining,92,CN,1583617078,36.62,101.77,66,34.39,6.93
Mount Isa,2,AU,1583617086,-20.73,139.5,64,69.8,10.29
Albany,5,US,1583616957,42.6,-73.97,30,43.0,12.66
Kapaa,90,US,1583616989,22.08,-159.32,64,75.2,21.92
Pangai,40,TO,1583617417,-19.8,-174.35,66,84.2,8.05
Mount Gambier,40,AU,1583617050,-37.83,140.77,87,51.8,8.05
Camapuã,35,BR,1583617417,-19.53,-54.04,67,79.47,5.26
Yellowknife,5,CA,1583616854,62.46,-114.35,48,-5.01,8.05
Oranjemund,52,NA,1583617418,-28.55,16.43,64,70.54,5.57
Stavrovo,100,RU,1583617418,56.13,40.01,93,41.4,8.84
Ulan-Ude,20,RU,1583617418,51.83,107.61,43,15.8,11.18
Borogontsy,33,RU,1583617418,62.67,131.17,96,-3.23,6.31
Nikolskoye,20,RU,1583616865,59.7,30.79,74,35.6,4.47
Nizhniy Kuranakh,0,RU,1583617419,58.84,125.49,96,-6.03,5.39
Aykhal,96,RU,1583617419,66.0,111.5,73,-32.8,8.95
Carnarvon,0,AU,1583617087,-24.87,113.63,83,73.4,13.87
Faanui,100,PF,1583617046,-16.48,-151.75,72,83.14,4.09
Hay River,40,CA,1583617038,60.82,-115.8,54,1.4,9.17
Cidreira,58,BR,1583616911,-30.18,-50.21,77,73.02,19.22
Sept-Îles,5,CA,1583617301,50.2,-66.38,27,26.6,6.93
Hermanus,96,ZA,1583617035,-34.42,19.23,96,64.99,1.01
Bethel,1,US,1583617056,41.37,-73.41,20,46.0,14.99
Tasiilaq,100,GL,1583617041,65.61,-37.64,53,24.8,14.99
Kropotkin,100,RU,1583617130,45.44,40.58,64,55.15,3.71
Kisaran,90,ID,1583617420,2.98,99.62,97,73.83,2.28
Saint-Philippe,40,RE,1583616897,-21.36,55.77,74,78.8,10.29
Kristiansund,100,NO,1583617257,63.11,7.73,74,41.0,25.28
Richards Bay,0,ZA,1583617421,-28.78,32.04,78,76.12,19.69
Lagos,20,NG,1583617421,6.58,3.75,83,82.4,9.17
Sistranda,100,NO,1583617421,63.73,8.83,51,37.4,27.51
Saint Anthony,1,US,1583617015,45.02,-93.22,49,52.0,13.87
Chokurdakh,100,RU,1583617047,70.63,147.92,79,-7.94,3.96
Saint Paul Harbor,90,US,1583617063,57.79,-152.41,64,35.6,3.06
Cabo San Lucas,90,MX,1583616812,22.89,-109.91,47,80.01,6.93
Korla,100,CN,1583617422,41.76,86.15,32,25.45,9.57
Tottori-shi,100,JP,1583617320,35.5,134.23,95,45.21,4.92
Severo-Kuril'sk,60,RU,1583617071,50.68,156.12,89,17.4,8.39
Saint George,75,US,1583616840,37.1,-113.58,23,73.4,25.28
Shenjiamen,73,CN,1583617423,29.96,122.3,88,51.82,9.17
Horsham,100,GB,1583617423,51.06,-0.33,81,51.01,12.75
Hobart,75,AU,1583617018,-42.88,147.33,81,52.0,8.05
Yulara,0,AU,1583616852,-25.24,130.99,34,68.0,6.93
New Norfolk,75,AU,1583616863,-42.78,147.06,81,52.0,8.05
Brasiléia,40,BR,1583617424,-11.02,-68.75,74,86.0,4.7
San Roque,0,ES,1583617424,36.21,-5.38,72,59.0,5.82
Lebu,33,CL,1583617067,-37.62,-73.65,46,63.88,11.65
Akhmīm,0,EG,1583617425,26.56,31.75,25,60.82,12.95
Mar del Plata,99,AR,1583616751,-38.0,-57.56,45,87.01,11.41
Xapuri,40,BR,1583617425,-10.65,-68.5,74,86.0,4.7
São Sebastião,9,BR,1583617181,-23.76,-45.41,71,76.14,12.59
Jōetsu,100,JP,1583617425,37.15,138.24,78,41.0,4.29
Vaini,75,TO,1583616850,-21.2,-175.2,78,82.4,4.7
Taitung City,0,TW,1583617426,22.76,121.14,76,52.2,3.13
São Filipe,40,CV,1583616907,14.9,-24.5,75,72.57,10.65
Xichang,0,CN,1583617426,27.9,102.26,81,37.29,3.8
Mocajuba,100,BR,1583617427,-2.58,-49.51,99,72.75,0.94
Isernia,75,IT,1583617427,41.6,14.24,76,48.99,2.24
Ondjiva,82,AO,1583617427,-17.07,15.73,62,72.86,5.68
Athabasca,100,CA,1583617427,54.72,-113.29,90,7.9,8.63
Ilulissat,75,GL,1583617108,69.22,-51.1,71,3.2,11.41
Mahon,20,ES,1583617117,39.89,4.27,75,46.4,4.7
Taltal,6,CL,1583617428,-25.4,-70.48,69,68.23,6.58
Williams Lake,20,CA,1583617289,52.14,-122.14,46,28.4,5.82
Mildura,59,AU,1583617428,-34.2,142.15,76,55.99,5.82
Ixtapa,90,MX,1583617067,20.7,-105.2,83,78.01,10.29
Aktyubinskiy,100,RU,1583617428,54.81,52.81,71,25.59,16.4
Tuatapere,100,NZ,1583616863,-46.13,167.68,98,57.99,8.01
Khāsh,0,IR,1583617124,28.22,61.22,33,47.93,4.32
Arraial do Cabo,40,BR,1583617053,-22.97,-42.03,73,77.0,8.05
Eureka,1,US,1583617429,40.8,-124.16,76,54.0,9.17
Māngrol,0,IN,1583617429,21.12,70.12,51,73.92,9.8
Rūdbār,0,AF,1583617430,30.15,62.6,28,50.23,9.62
Bereda,20,ES,1583616930,43.27,-7.54,76,51.01,6.93
Vao,100,NC,1583617124,-22.67,167.48,77,79.7,12.26
Ligayan,100,PH,1583617430,4.65,119.47,84,80.53,9.82
Hilo,20,US,1583616855,19.73,-155.09,57,78.8,12.75
Dalvik,90,IS,1583617431,65.97,-18.53,73,24.8,11.41
Bredasdorp,18,ZA,1583617020,-34.53,20.04,82,64.4,4.7
Port Elizabeth,12,ZA,1583616857,-33.92,25.57,72,72.68,15.37
Mahébourg,40,MU,1583617106,-20.41,57.7,94,78.8,3.36
Sangar,100,RU,1583617431,63.92,127.47,96,2.44,7.61
Chui,0,UY,1583616854,-33.7,-53.46,61,75.72,12.35
Vestmanna,71,FO,1583617432,62.16,-7.17,93,39.2,2.24
San Patricio,75,MX,1583617094,19.22,-104.7,74,84.2,11.41
Ugoofaaru,0,MV,1583617432,5.67,73.0,66,83.43,5.88
Progreso,75,MX,1583617432,21.28,-89.67,44,80.6,17.22
Dodge City,1,US,1583616987,37.75,-100.02,21,71.6,34.45
Castro,89,BR,1583616973,-24.79,-50.01,67,69.51,2.71
Bengkulu,100,ID,1583616790,-3.8,102.27,85,74.5,2.95
Kalmunai,0,LK,1583617124,7.42,81.82,73,80.98,10.04
Cururupu,100,BR,1583617098,-1.83,-44.87,95,77.65,1.86
Vila Velha,75,BR,1583617141,-20.33,-40.29,94,69.8,4.7
Narsaq,66,GL,1583617434,60.92,-46.05,58,30.2,2.24
Thompson,90,CA,1583617045,55.74,-97.86,36,-4.0,9.17
Kavaratti,1,IN,1583617054,10.57,72.64,77,81.63,8.46
Pevek,0,RU,1583617065,69.7,170.31,97,-13.83,6.55
Tampere,20,FI,1583617435,61.5,23.79,94,32.0,4.7
Kununurra,21,AU,1583617084,-15.77,128.73,94,75.2,4.97
Durban,0,ZA,1583617279,-29.86,31.03,78,73.99,10.29
Bac Lieu,71,VN,1583617436,9.29,105.72,91,72.41,1.19
Angoche,40,MZ,1583617436,-16.23,39.91,97,75.65,5.59
Vaitape,100,PF,1583617128,-16.52,-151.75,72,83.14,4.09
Kaitangata,100,NZ,1583617058,-46.28,169.85,93,55.02,7.85
Chabahar,0,IR,1583617436,25.29,60.64,43,67.93,0.92
Hasaki,75,JP,1583616849,35.73,140.83,93,43.0,12.75
Atuona,0,PF,1583617060,-9.8,-139.03,70,81.21,11.45
Tame,61,CO,1583617437,6.46,-71.73,26,98.6,5.66
Puerto Ayora,40,EC,1583616988,-0.74,-90.35,66,86.0,4.7
Gürgentepe,0,TR,1583617437,40.79,37.6,100,46.4,1.12
Tual,100,ID,1583617437,-5.67,132.75,89,79.36,20.27
Qaanaaq,52,GL,1583617040,77.48,-69.36,52,-25.37,4.29
Elena,75,BG,1583617438,42.93,25.88,81,53.6,5.82
Payyanur,40,IN,1583617438,12.1,75.2,94,75.2,2.24
College,90,US,1583616942,64.86,-147.8,78,12.99,1.19
Ulladulla,90,AU,1583617438,-35.35,150.47,82,62.01,9.17
Kavieng,100,PG,1583616891,-2.57,150.8,74,84.6,11.05
Bryan,1,US,1583617439,30.67,-96.37,36,60.8,9.17
Olafsvik,100,IS,1583617439,64.89,-23.71,62,28.72,18.66
Mason City,1,US,1583617431,43.15,-93.2,44,62.6,18.34
Veracruz,75,MX,1583617439,19.33,-96.67,57,77.0,13.87
Santa Rosa,20,PH,1583617439,14.31,121.11,78,81.0,4.7
Manyana,1,BW,1583617439,-23.4,21.72,37,69.08,2.98
Hong Kong,40,HK,1583616697,22.29,114.16,88,73.99,10.29
Muros,30,ES,1583617098,42.78,-9.06,81,52.0,5.82
Vila Franca do Campo,75,PT,1583617132,37.72,-25.43,93,62.6,15.66
Roebourne,6,AU,1583617440,-20.78,117.13,21,88.7,22.46
Tiznit Province,0,MA,1583617142,29.58,-9.5,36,64.31,1.83
Balkanabat,0,TM,1583617441,39.51,54.37,21,35.55,25.7
Kisesa,100,TZ,1583617441,-3.08,34.15,88,68.18,2.51
Laguna,90,US,1583617064,38.42,-121.42,76,60.01,9.17
Juruti,85,BR,1583617441,-2.15,-56.09,60,88.88,0.87
Fort Nelson,40,CA,1583617043,58.81,-122.7,54,3.2,5.08
Provideniya,0,RU,1583616986,64.38,-173.3,91,0.54,4.45
Wattegama,0,LK,1583617442,6.8,81.48,89,70.66,2.01
Hailey,75,US,1583617313,43.52,-114.32,49,46.4,4.7
Nazarovo,100,RU,1583617442,56.01,90.39,76,4.44,16.71
Husavik,90,IS,1583617109,66.04,-17.34,73,24.8,11.41
Kruisfontein,3,ZA,1583617043,-34.0,24.73,72,70.05,6.78
Duitama,53,CO,1583617443,5.82,-73.03,86,56.21,3.44
Coron,100,PH,1583617443,12.0,120.2,85,77.65,3.91
Kloulklubed,90,PW,1583617072,7.04,134.26,94,75.2,6.93
Tiksi,100,RU,1583617060,71.69,128.87,98,-14.35,4.76
Port Augusta,82,AU,1583617444,-32.5,137.77,77,60.8,5.82
Maceió,20,BR,1583617444,-9.67,-35.74,74,82.4,6.93
Brateiu,100,RO,1583617444,46.17,24.42,81,46.4,4.7
Pathein,8,MM,1583617444,16.78,94.73,80,74.82,10.29
Maniitsoq,99,GL,1583617068,65.42,-52.9,83,8.24,11.21
Motala,20,SE,1583617444,58.54,15.04,89,32.0,3.36
Airai,100,TL,1583617083,-8.93,125.41,90,65.98,2.42
Ca Mau,80,VN,1583617050,9.18,105.15,90,72.28,2.77
Tralee,100,IE,1583617238,52.27,-9.7,94,46.87,27.83
Huilong,82,CN,1583617446,31.81,121.66,94,50.0,7.07
Saravan,90,AM,1583617446,39.72,45.65,57,50.0,3.13
Strathmore,90,CA,1583617446,51.05,-113.39,78,16.0,12.75
Belaya Gora,100,RU,1583617446,68.53,146.42,84,-10.14,2.64
George Town,20,MY,1583616890,5.41,100.34,88,82.4,3.36
Río Gallegos,75,AR,1583616918,-51.62,-69.22,50,57.2,39.15
Palora,90,EC,1583617447,-1.7,-77.93,88,69.8,6.93
Shimoda,100,JP,1583617447,34.67,138.95,93,46.99,3.0
Souillac,40,MU,1583617058,-20.52,57.52,94,78.8,3.36
Saldanha,33,ZA,1583616916,-33.01,17.94,82,68.0,10.29
Shache,100,CN,1583617448,38.42,77.24,35,44.01,0.72
Vilhena,94,BR,1583617448,-12.74,-60.15,57,83.68,3.38
Solnechnyy,100,RU,1583617448,50.72,136.63,89,16.95,2.89
Nara,75,JP,1583617324,34.69,135.8,81,50.0,12.75
Porbandar,0,IN,1583617448,21.64,69.61,51,73.11,8.99
Grand Gaube,40,MU,1583617448,-20.01,57.66,94,78.8,3.36
Sawtell,90,AU,1583617449,-30.38,153.1,93,68.0,8.05
Wana,0,PK,1583617449,32.3,69.57,54,31.75,8.14
Tayshet,16,RU,1583617449,55.93,98.0,93,-9.63,6.69
Roald,75,NO,1583616845,62.58,6.13,73,42.8,18.34
Aksarka,100,RU,1583617449,66.56,67.8,84,26.26,17.13
Pacific Grove,90,US,1583617450,36.62,-121.92,66,57.99,3.36
Sitka,1,US,1583617134,57.05,-135.33,64,35.6,3.36
Khasan,100,RU,1583617105,42.43,130.64,96,30.0,1.14
Jūrmala,75,LV,1583617450,56.97,23.77,93,37.4,2.24
Baft,0,IR,1583617450,29.23,56.61,51,45.66,1.45
Sumbe,93,AO,1583617450,-11.21,13.84,86,78.84,2.21
Forsytheganj,100,BY,1583617451,52.63,29.73,84,45.07,3.29
Zdvinsk,100,RU,1583617451,54.7,78.66,93,15.78,20.04
Tautira,20,PF,1583617451,-17.73,-149.15,70,87.8,9.17
La Ronge,90,CA,1583616860,55.1,-105.28,70,-2.2,18.34
Half Moon Bay,90,US,1583617197,37.46,-122.43,87,55.99,8.05
Ilhabela,2,BR,1583617451,-23.78,-45.36,71,76.12,11.01
Ucluelet,75,CA,1583617079,48.93,-125.55,75,42.01,4.7
Katsuura,75,JP,1583617053,35.13,140.3,81,45.0,10.29
Saskylakh,48,RU,1583617039,71.92,114.08,96,-38.79,9.22
Labuhan,100,ID,1583617452,-6.88,112.21,93,75.25,3.98
Yandyki,83,RU,1583617452,45.77,47.13,56,43.97,18.28
Acapulco de Juárez,5,MX,1583617048,16.86,-99.89,70,86.0,8.05
Menongue,6,AO,1583617453,-14.66,17.69,82,64.0,3.29
Itoman,75,JP,1583617453,26.12,127.67,88,68.0,14.99
Constitución,10,CL,1583616877,-35.33,-72.42,61,63.91,13.31
Lompoc,90,US,1583617105,34.64,-120.46,93,61.0,4.7
Pecos,1,US,1583617454,31.42,-103.49,29,75.2,5.82
Codrington,78,AU,1583617077,-38.27,141.97,87,60.17,18.32
Beringovskiy,16,RU,1583617119,63.05,179.32,95,-7.98,9.62
Jalpan,100,MX,1583617454,21.23,-99.48,63,59.16,6.85
Camacha,40,PT,1583617085,33.08,-16.33,72,62.6,12.75
Sulangan,100,PH,1583617454,11.14,123.72,85,80.4,8.23
Kushima,40,JP,1583617114,31.46,131.23,87,53.6,8.05
Basoko,3,CD,1583617455,1.24,23.62,78,77.29,3.36
Doka,0,SD,1583617455,13.52,35.77,21,81.73,11.72
Lithakia,40,GR,1583617455,37.72,20.83,82,60.8,12.75
Yar-Sale,100,RU,1583617111,66.83,70.83,94,24.22,12.26
Anchorage,90,US,1583617456,61.22,-149.9,85,21.0,3.36
Bristol,1,US,1583617251,41.83,-71.17,20,45.0,9.17
Broome,1,US,1583616876,42.25,-75.83,50,36.0,13.87
Ambulu,100,ID,1583617456,-8.35,113.61,76,82.22,9.64
Vanimo,100,PG,1583617456,-2.67,141.3,80,80.8,14.65
Zeya,100,RU,1583617133,53.75,127.27,96,16.83,5.48
Tessalit,0,ML,1583617115,20.2,1.01,6,78.46,9.55
Tanete,100,ID,1583617457,-3.94,119.78,87,76.26,2.3
San Cristobal,20,VE,1583617104,7.77,-72.22,46,89.6,8.05
Vitim,100,RU,1583617457,59.45,112.56,95,3.04,6.89
Magnitka,100,RU,1583617457,55.35,59.7,62,21.42,13.38
El Alto,75,PE,1583617458,-4.27,-81.21,100,62.6,10.29
Wahiawā,90,US,1583617458,21.5,-158.02,73,80.6,10.29
Nelson Bay,90,AU,1583617458,-32.72,152.15,68,71.01,11.41
Salinópolis,100,BR,1583617458,-0.61,-47.36,93,76.46,8.97
Kasongo-Lunda,100,CD,1583617459,-6.47,16.82,96,70.34,1.48
Talen,0,IN,1583617459,23.57,76.72,33,61.16,7.63
Nouadhibou,33,MR,1583616957,20.93,-17.03,77,66.2,16.11
Atambua,100,ID,1583617113,-9.11,124.89,84,74.16,2.73
Longyearbyen,75,SJ,1583616834,78.22,15.64,73,21.2,1.12
La Ciotat,0,FR,1583617460,43.17,5.6,61,53.01,23.04
Karatau,58,KZ,1583617460,43.17,70.47,72,15.93,10.51
Okha,100,RU,1583617075,53.57,142.95,97,15.1,8.16
Honiara,75,SB,1583616883,-9.43,159.95,94,78.8,2.24
Ballina,40,AU,1583617461,-28.87,153.57,88,69.8,9.17
Petropavlovsk-Kamchatskiy,0,RU,1583617099,53.05,158.65,71,6.8,8.95
Scarborough,100,GB,1583617326,54.28,-0.4,71,52.0,17.22
Adrar,77,MR,1583617114,20.5,-10.07,13,77.16,9.24
Ponta do Sol,40,PT,1583616876,32.67,-17.1,63,62.6,16.11
Touros,20,BR,1583617081,-5.2,-35.46,83,82.4,8.05
